Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL16657,"NimbleGen human 42M CGH array, 38 of 60 [2007-05-18_HG18_Sanger_CGH_38]","in situ oligonucleotide","Homo sapiens",716793,1,2,"Andy Pang","Feb 12, 2013"
GPL16658,"NimbleGen human 42M CGH array, 39 of 60 [2007-05-18_HG18_Sanger_CGH_39]","in situ oligonucleotide","Homo sapiens",716830,1,2,"Andy Pang","Feb 12, 2013"
GPL16659,"NimbleGen human 42M CGH array, 40 of 60 [2007-05-18_HG18_Sanger_CGH_40]","in situ oligonucleotide","Homo sapiens",714968,1,2,"Andy Pang","Feb 12, 2013"
GPL16660,"NimbleGen human 42M CGH array, 41 of 60 [2007-05-18_HG18_Sanger_CGH_41]","in situ oligonucleotide","Homo sapiens",716832,1,2,"Andy Pang","Feb 12, 2013"
GPL16661,"NimbleGen human 42M CGH array, 42 of 60 [2007-05-18_HG18_Sanger_CGH_42]","in situ oligonucleotide","Homo sapiens",716805,1,2,"Andy Pang","Feb 12, 2013"
GPL16662,"NimbleGen human 42M CGH array, 43 of 60 [2007-05-18_HG18_Sanger_CGH_43]","in situ oligonucleotide","Homo sapiens",716806,1,2,"Andy Pang","Feb 12, 2013"
GPL16663,"NimbleGen human 42M CGH array, 44 of 60 [2007-05-18_HG18_Sanger_CGH_44]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
GPL16664,"NimbleGen human 42M CGH array, 45 of 60 [2007-05-18_HG18_Sanger_CGH_45]","in situ oligonucleotide","Homo sapiens",713921,1,2,"Andy Pang","Feb 12, 2013"
GPL16665,"NimbleGen human 42M CGH array, 46 of 60 [2007-05-18_HG18_Sanger_CGH_46]","in situ oligonucleotide","Homo sapiens",716838,1,2,"Andy Pang","Feb 12, 2013"
GPL16666,"NimbleGen human 42M CGH array, 47 of 60 [2007-05-18_HG18_Sanger_CGH_47]","in situ oligonucleotide","Homo sapiens",716828,1,2,"Andy Pang","Feb 12, 2013"
GPL16667,"NimbleGen human 42M CGH array, 48 of 60 [2007-05-18_HG18_Sanger_CGH_48]","in situ oligonucleotide","Homo sapiens",707917,1,2,"Andy Pang","Feb 12, 2013"
GPL16668,"NimbleGen human 42M CGH array, 49 of 60 [2007-05-18_HG18_Sanger_CGH_49]","in situ oligonucleotide","Homo sapiens",716826,1,2,"Andy Pang","Feb 12, 2013"
GPL16669,"NimbleGen human 42M CGH array, 50 of 60 [2007-05-18_HG18_Sanger_CGH_50]","in situ oligonucleotide","Homo sapiens",715667,1,2,"Andy Pang","Feb 12, 2013"
GPL16670,"NimbleGen human 42M CGH array, 51 of 60 [2007-05-18_HG18_Sanger_CGH_51]","in situ oligonucleotide","Homo sapiens",716777,1,2,"Andy Pang","Feb 12, 2013"
GPL16671,"NimbleGen human 42M CGH array, 52 of 60 [2007-05-18_HG18_Sanger_CGH_52]","in situ oligonucleotide","Homo sapiens",690757,1,2,"Andy Pang","Feb 12, 2013"
GPL16672,"NimbleGen human 42M CGH array, 53 of 60 [2007-05-18_HG18_Sanger_CGH_53]","in situ oligonucleotide","Homo sapiens",716755,1,2,"Andy Pang","Feb 12, 2013"
GPL16673,"NimbleGen human 42M CGH array, 54 of 60 [2007-05-18_HG18_Sanger_CGH_54]","in situ oligonucleotide","Homo sapiens",713772,1,2,"Andy Pang","Feb 12, 2013"
GPL16674,"NimbleGen human 42M CGH array, 55 of 60 [2007-05-18_HG18_Sanger_CGH_55]","in situ oligonucleotide","Homo sapiens",716827,1,2,"Andy Pang","Feb 12, 2013"
GPL16675,"NimbleGen human 42M CGH array, 56 of 60 [2007-05-18_HG18_Sanger_CGH_56]","in situ oligonucleotide","Homo sapiens",697707,1,2,"Andy Pang","Feb 12, 2013"
GPL16676,"NimbleGen human 42M CGH array, 57 of 60 [2007-05-18_HG18_Sanger_CGH_57]","in situ oligonucleotide","Homo sapiens",713461,1,2,"Andy Pang","Feb 12, 2013"
GPL16677,"NimbleGen human 42M CGH array, 58 of 60 [2007-05-18_HG18_Sanger_CGH_58]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
GPL16678,"NimbleGen human 42M CGH array, 59 of 60 [2007-05-18_HG18_Sanger_CGH_59]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
GPL16679,"NimbleGen human 42M CGH array, 60 of 60 [2007-05-18_HG18_Sanger_CGH_60]","in situ oligonucleotide","Homo sapiens",338420,1,2,"Andy Pang","Feb 12, 2013"
GPL16604,"Agilent-032034 VPC Human 180K v3 (Probe Name version)","in situ oligonucleotide","Homo sapiens",175337,185,10,"Colleen Nelson","Feb 08, 2013"
GPL16601,"MRA-1001_miRHuman_18 (miRNA named version)","in situ oligonucleotide","Homo sapiens",1923,27,5,"Christoph Eicken","Feb 07, 2013"
GPL16591,"LC_MRA-1001_miRHuman_18","in situ oligonucleotide","Homo sapiens",3968,4,2,"Christoph Eicken","Feb 06, 2013"
GPL16592,"PIQOR(TM) Cell death human, sense (562)","spotted DNA/cDNA","Homo sapiens",494,4,1,"Silvia Rueberg","Feb 06, 2013"
GPL16589,"SABiosciences Real-time quantitative PCR analysis PAHS-135Z","RT-PCR","Homo sapiens",96,2,1,"MOHAMMAD SALEEM BHAT","Feb 05, 2013"
GPL14873,"Agilent-027516 VPC Human 180K v2","in situ oligonucleotide","Homo sapiens",180880,12,1,"Colleen Nelson","Feb 04, 2013"
GPL16323,"Bluegnome human 24sure v2.0","spotted DNA/cDNA","Homo sapiens",2943,0,0,"Claudia Spits","Feb 01, 2013"
GPL16573,"Illumina HumanOmni1-Quad BeadChip (15004098)","oligonucleotide beads","Homo sapiens",1216822,61,4,"Vladimir Naumov","Feb 01, 2013"
