MM.Entrez,row,EffectSize,condition
11502,11502,-0.15094666628852016,Fluad_24_PBMC
11502,11502,-0.04142273432445531,Fluad_48_PBMC
11502,11502,-0.06525409232354473,Fluad_72_PBMC
11502,11502,-0.05016230911275521,Fluad_168_PBMC
11504,11504,0.021870071791324275,Fluad_4_PBMC
11504,11504,0.005102415641336844,Fluad_8_PBMC
11504,11504,-0.13363200431387412,Fluad_24_PBMC
11504,11504,-0.019343399341819723,Fluad_48_PBMC
11504,11504,0.09301711944618596,Fluad_72_PBMC
11504,11504,-0.07825842909116099,Fluad_168_PBMC
11513,11513,-0.009901498737869385,Fluad_4_PBMC
11513,11513,-0.02537549787710569,Fluad_8_PBMC
11513,11513,-0.077007464559387,Fluad_24_PBMC
11513,11513,-0.05864949755000648,Fluad_48_PBMC
11513,11513,-0.04346522041501499,Fluad_72_PBMC
11513,11513,-0.004793823982261802,Fluad_168_PBMC
11514,11514,0.01829032239700301,Fluad_4_PBMC
11514,11514,0.30092991055581453,Fluad_8_PBMC
11514,11514,0.20289254062236695,Fluad_24_PBMC
11514,11514,0.16567826747596226,Fluad_48_PBMC
11514,11514,0.2834315709648221,Fluad_72_PBMC
11514,11514,0.09928818468947997,Fluad_168_PBMC
11515,11515,0.15172608318736103,Fluad_4_PBMC
11515,11515,0.12774996021910212,Fluad_8_PBMC
11515,11515,0.05064885652805495,Fluad_24_PBMC
11515,11515,0.18293277265805452,Fluad_48_PBMC
11515,11515,0.0726887247184429,Fluad_72_PBMC
11515,11515,0.0738147989339546,Fluad_168_PBMC
11516,11516,-0.056531079436287435,Fluad_4_PBMC
11516,11516,-0.08394392118496441,Fluad_8_PBMC
11516,11516,0.010927050069970079,Fluad_24_PBMC
11516,11516,-0.18301989921092376,Fluad_48_PBMC
11516,11516,0.024888121085572923,Fluad_72_PBMC
11516,11516,0.1385604949375523,Fluad_168_PBMC
11517,11517,0.04289054305775486,Fluad_4_PBMC
11517,11517,0.365984074673779,Fluad_8_PBMC
11517,11517,0.24697705104389311,Fluad_24_PBMC
11517,11517,0.20778526255081364,Fluad_48_PBMC
11517,11517,0.2391443121695509,Fluad_72_PBMC
11517,11517,0.06629619339002901,Fluad_168_PBMC
11518,11518,-0.0019961005871107496,Fluad_4_PBMC
11518,11518,-0.005727249652935029,Fluad_8_PBMC
11518,11518,9.19556806512567e-4,Fluad_24_PBMC
11518,11518,0.004121577885815242,Fluad_48_PBMC
11518,11518,0.014368797223705432,Fluad_72_PBMC
11518,11518,-0.015257890290434784,Fluad_168_PBMC
11519,11519,-0.11549284949126415,Fluad_4_PBMC
11519,11519,0.06449431182237886,Fluad_8_PBMC
11519,11519,0.06982675493069124,Fluad_24_PBMC
11519,11519,0.008690438864466188,Fluad_48_PBMC
11519,11519,0.0943012815669837,Fluad_72_PBMC
11519,11519,-0.09318079483264308,Fluad_168_PBMC
11520,11520,0.08714283029289138,Fluad_4_PBMC
11520,11520,0.05222920567967604,Fluad_8_PBMC
11520,11520,-0.08809606670864323,Fluad_24_PBMC
11520,11520,-0.060676570907140626,Fluad_48_PBMC
11520,11520,-0.08666062624513504,Fluad_72_PBMC
11520,11520,-0.01472883245299439,Fluad_168_PBMC
11522,11522,-0.009784993035586442,Fluad_4_PBMC
11522,11522,0.023468536817124797,Fluad_8_PBMC
11522,11522,-0.17307964835062606,Fluad_24_PBMC
11522,11522,-0.20658383532099567,Fluad_48_PBMC
11522,11522,-0.2225597327365012,Fluad_72_PBMC
11522,11522,-0.018523532535095644,Fluad_168_PBMC
11529,11529,0.05216968848307646,Fluad_4_PBMC
11529,11529,0.12451357204245017,Fluad_8_PBMC
11529,11529,0.01480430664244059,Fluad_24_PBMC
11529,11529,-0.08017935351772598,Fluad_48_PBMC
11529,11529,-0.026198365826322956,Fluad_72_PBMC
11529,11529,-0.018303548169092965,Fluad_168_PBMC
11532,11532,0.09424156550361396,Fluad_4_PBMC
11532,11532,-0.07901331303452652,Fluad_8_PBMC
11532,11532,0.09121237469290522,Fluad_24_PBMC
11532,11532,-0.2387030712173972,Fluad_48_PBMC
11532,11532,-0.4247839347750919,Fluad_72_PBMC
11532,11532,-0.11413384549449779,Fluad_168_PBMC
11534,11534,-0.05202371648246373,Fluad_4_PBMC
11534,11534,4.3043199128556253e-4,Fluad_8_PBMC
11534,11534,0.02152593198788333,Fluad_24_PBMC
11534,11534,-0.01848073203270717,Fluad_48_PBMC
11534,11534,0.012346911178705344,Fluad_72_PBMC
11534,11534,-0.020500416635656382,Fluad_168_PBMC
11535,11535,-0.5808779300180358,Fluad_4_PBMC
11535,11535,-0.22971624691950066,Fluad_8_PBMC
11535,11535,-0.23594955813006768,Fluad_24_PBMC
11535,11535,-0.3170161434824599,Fluad_48_PBMC
11535,11535,-0.31022477251645064,Fluad_72_PBMC
11535,11535,0.0012801426500401725,Fluad_168_PBMC
11536,11536,0.048741613633631165,Fluad_4_PBMC
11536,11536,0.05482805906275923,Fluad_8_PBMC
11536,11536,-0.08635282920793075,Fluad_24_PBMC
11536,11536,-0.04436959600853374,Fluad_48_PBMC
11536,11536,0.025698005897890397,Fluad_72_PBMC
11536,11536,0.2591546614702831,Fluad_168_PBMC
11537,11537,-0.4972435713379335,Fluad_4_PBMC
11537,11537,-0.4124759412482808,Fluad_8_PBMC
11537,11537,-0.5405267211969562,Fluad_24_PBMC
11537,11537,-0.35851638096708793,Fluad_48_PBMC
11537,11537,-0.41398221055344697,Fluad_72_PBMC
11537,11537,-0.4355074727167645,Fluad_168_PBMC
11538,11538,-0.011395468675561737,Fluad_4_PBMC
11538,11538,-0.022092810772671445,Fluad_8_PBMC
11538,11538,-0.10340860351973635,Fluad_24_PBMC
11538,11538,-0.05889666896285073,Fluad_48_PBMC
11538,11538,-0.06262023504056868,Fluad_72_PBMC
11538,11538,-0.0108866958663838,Fluad_168_PBMC
